problemID,problemRating,tags
494D,2759,"[data structures, dfs and similar, dp, trees]"
580D,1913,"[bitmasks, dp]"
75B,1491,"[expression parsing, implementation, strings]"
270A,1156,"[geometry, implementation, math]"
603A,1584,"[dp, greedy]"
299D,5000,[]
260C,1718,"[greedy, implementation]"
296E,2647,"[combinatorics, dfs and similar, dp]"
670A,1008,"[brute force, constructive algorithms]"
463C,1905,"[greedy, hashing, implementation]"
379C,1485,"[greedy, sortings]"
220C,2145,[data structures]
711D,1930,"[combinatorics, dfs and similar, graphs, math]"
540A,893,[implementation]
649A,1296,[constructive algorithms]
225E,2147,"[math, number theory]"
151C,1698,"[games, greedy, number theory]"
358E,2495,"[brute force, dsu, graphs, implementation]"
132D,2104,"[constructive algorithms, dp, greedy]"
178F2,2251,"[dp, sortings, strings]"
558E,2393,"[data structures, sortings, strings]"
66C,1758,"[data structures, implementation]"
89D,2370,[geometry]
55B,1529,[brute force]
316B1,1574,"[brute force, dfs and similar]"
319E,5000,[data structures]
195E,2118,"[data structures, dsu]"
152D,2753,[brute force]
569B,1268,[greedy]
381B,1214,"[greedy, implementation, sortings]"
249E,2673,[math]
95D,2595,"[dp, math]"
412D,1733,[dfs and similar]
342E,2390,"[data structures, divide and conquer, trees]"
459A,1355,[implementation]
136C,1435,"[implementation, sortings]"
197C,1329,"[greedy, implementation, sortings]"
127A,949,[geometry]
254A,1294,"[constructive algorithms, sortings]"
26B,1308,[greedy]
2A,1291,"[hashing, implementation]"
418E,5000,[data structures]
253E,2366,"[binary search, data structures, implementation, sortings]"
341A,1648,[math]
136B,1218,"[implementation, math]"
447A,1006,[implementation]
5B,1235,"[implementation, strings]"
474F,2156,"[data structures, number theory]"
148C,1759,"[constructive algorithms, greedy]"
178E3,2241,[]
316D3,2390,"[dp, math]"
604B,1601,"[binary search, greedy]"
156E,3040,"[brute force, dp]"
536E,3099,"[data structures, divide and conquer, trees]"
604E,2394,[]
300D,2641,"[dp, fft]"
413E,2120,"[data structures, divide and conquer]"
509A,671,"[brute force, implementation]"
176E,5000,"[data structures, dfs and similar, trees]"
271E,2369,"[constructive algorithms, math, number theory]"
365A,1171,[implementation]
667E,5000,[]
441B,1394,"[greedy, implementation]"
169B,1243,[greedy]
156D,2518,"[combinatorics, graphs]"
243B,2079,"[graphs, sortings]"
657B,2207,[math]
226C,2484,"[data structures, implementation, math, matrices, number theory]"
429C,2387,"[bitmasks, constructive algorithms, dp, greedy, trees]"
278E,5000,[games]
330C,1570,[matrices]
91C,2168,"[combinatorics, dsu, graphs]"
596B,1194,[greedy]
24A,1237,[graphs]
216C,1832,[greedy]
513G1,1814,"[brute force, dfs and similar, dp, meet-in-the-middle]"
659F,2253,"[dfs and similar, dsu, graphs, sortings]"
357B,1406,"[constructive algorithms, implementation]"
376A,1074,"[implementation, math]"
556D,2232,"[binary search, data structures, greedy]"
366B,1279,"[brute force, implementation]"
379F,2395,"[data structures, divide and conquer, trees]"
202A,990,"[binary search, bitmasks, brute force, greedy, implementation, strings]"
364D,2980,"[brute force, math, probabilities]"
260E,2750,"[binary search, brute force, data structures]"
243A,1652,[bitmasks]
538C,1638,"[binary search, brute force, greedy, implementation, math]"
331E2,5000,"[constructive algorithms, dp]"
435B,1478,[greedy]
26E,2162,[constructive algorithms]
509D,2299,"[constructive algorithms, math]"
635F,5000,[]
715B,2412,"[binary search, constructive algorithms, graphs, shortest paths]"
165C,1644,"[binary search, brute force, dp, math, strings, two pointers]"
671C,2792,"[data structures, number theory]"
525D,2391,"[data structures, greedy]"
697F,2851,[]
251D,2800,"[bitmasks, math]"
263E,2644,"[brute force, data structures, dp]"
194A,1041,"[implementation, math]"
331A1,1371,"[brute force, implementation]"
685D,2654,[brute force]
613B,2015,"[binary search, brute force, two pointers]"
426E,2529,[]
468A,1485,"[constructive algorithms, greedy, math]"
496C,1631,"[brute force, constructive algorithms, implementation]"
193C,2329,"[constructive algorithms, greedy, math, matrices]"
498C,2061,"[flows, graph matchings, number theory]"
187C,2068,"[dfs and similar, dsu]"
118B,1088,"[constructive algorithms, implementation]"
407D,2789,"[dp, hashing]"
445A,1282,"[dfs and similar, implementation]"
674E,2728,"[dp, math, probabilities, trees]"
218D,2212,[implementation]
69D,2059,"[dp, games]"
48H,5000,[constructive algorithms]
534B,1440,"[dp, greedy, math]"
314A,1569,[implementation]
233C,1874,"[combinatorics, graphs, matrices]"
558C,1985,"[brute force, greedy]"
248A,939,[implementation]
58C,1743,[brute force]
79E,2978,[math]
614D,2321,[]
446C,2413,"[data structures, number theory]"
117E,5000,"[data structures, divide and conquer, implementation, trees]"
380A,1594,"[binary search, brute force]"
487C,2311,"[constructive algorithms, number theory]"
357D,2164,[number theory]
240B,1683,[dp]
222E,1992,[matrices]
545C,1542,"[dp, greedy]"
662B,2160,[dfs and similar]
489F,2245,"[combinatorics, dp]"
360E,2930,"[graphs, greedy, shortest paths]"
489E,2718,"[binary search, dp]"
676D,2001,"[implementation, shortest paths]"
133E,2016,"[dp, implementation]"
514B,1389,"[brute force, data structures, geometry, math]"
17B,1413,"[dfs and similar, dsu, greedy, shortest paths]"
453C,2221,"[constructive algorithms, dfs and similar]"
36A,1304,[implementation]
402D,2157,"[dp, greedy, math]"
18B,1541,"[brute force, math]"
351C,2503,"[dp, matrices]"
687D,2544,"[brute force, data structures, dsu, sortings]"
90E,2218,[]
295E,2505,[data structures]
186E,5000,[]
462B,1400,[greedy]
560C,1593,[geometry]
535E,5000,[geometry]
77B,1687,"[math, probabilities]"
37A,1000,[sortings]
449A,1889,[math]
129A,823,[implementation]
41D,1930,[dp]
337D,2271,"[dfs and similar, divide and conquer, dp, trees]"
540E,2299,"[binary search, data structures, implementation, sortings, trees]"
608A,1105,"[implementation, math]"
60B,1363,"[dfs and similar, dsu]"
58A,1057,"[greedy, strings]"
414C,2047,"[combinatorics, divide and conquer]"
417C,1581,"[constructive algorithms, graphs, implementation]"
155B,1255,"[greedy, sortings]"
126C,2045,"[constructive algorithms, greedy]"
222D,1817,"[binary search, greedy, sortings, two pointers]"
103A,1128,"[greedy, implementation, math]"
163A,1675,[dp]
59C,1651,[expression parsing]
588C,1568,[]
337E,2514,"[brute force, number theory, trees]"
224B,1594,"[bitmasks, implementation, two pointers]"
679C,2387,"[dfs and similar, dsu, implementation]"
367E,2725,"[combinatorics, dp]"
427B,1172,"[data structures, implementation]"
634A,1536,"[constructive algorithms, implementation]"
582C,2431,[number theory]
403D,2323,"[combinatorics, dp]"
71C,1575,"[dp, math, number theory]"
57D,2443,"[dp, math]"
442C,2471,"[data structures, greedy]"
686D,2137,"[data structures, dfs and similar, trees]"
403C,2179,[graphs]
519D,1902,"[data structures, dp, two pointers]"
65B,1626,"[brute force, greedy, implementation]"
418B,1963,"[bitmasks, dp, sortings]"
177A2,898,[implementation]
365C,1909,"[brute force, combinatorics, math, matrices]"
169A,903,[sortings]
604D,2061,[dsu]
633E,2467,"[binary search, data structures, probabilities, two pointers]"
7D,1802,"[hashing, strings]"
90A,1068,"[greedy, math]"
42A,1436,"[greedy, implementation]"
53A,1192,[implementation]
546D,1866,"[constructive algorithms, dp, math, number theory]"
106E,2664,"[geometry, ternary search]"
697E,2297,"[math, number theory]"
577E,2430,[constructive algorithms]
617B,1363,[combinatorics]
406A,1541,"[implementation, math]"
675A,1220,[math]
714E,2407,"[dp, flows, sortings]"
645D,1834,"[binary search, dp, graphs]"
320B,1538,"[dfs and similar, graphs]"
542E,2682,"[graphs, shortest paths]"
429B,1710,[dp]
304D,1927,"[math, ternary search]"
375A,1685,"[math, number theory]"
235C,2896,"[string suffix structures, strings]"
336C,1797,"[brute force, greedy, implementation, number theory]"
176D,2420,[dp]
266B,967,"[constructive algorithms, graph matchings, implementation, shortest paths]"
223C,1881,"[combinatorics, math]"
368D,2132,"[data structures, two pointers]"
477C,2217,[dp]
493A,1363,[implementation]
133B,1242,[implementation]
406C,2242,"[constructive algorithms, dfs and similar, graphs]"
424B,1235,"[binary search, greedy, implementation, sortings]"
490C,1765,"[brute force, math, strings]"
421B,1080,[implementation]
104C,1661,"[dsu, trees]"
303B,1830,"[implementation, math]"
382D,2256,"[dfs and similar, graphs, implementation, trees]"
23D,2314,"[geometry, math]"
140E,2757,"[combinatorics, dp]"
165B,1554,"[binary search, implementation]"
318C,1639,"[greedy, math]"
268D,2603,[dp]
446A,1803,"[dp, implementation, two pointers]"
257B,1383,"[games, greedy, implementation]"
244E,5000,[]
278A,921,[implementation]
40C,2130,[math]
121C,1920,"[brute force, combinatorics, number theory]"
114C,1783,[implementation]
32C,1651,[math]
451E,2365,"[bitmasks, combinatorics, number theory]"
63B,1189,[implementation]
363C,1400,"[greedy, implementation]"
113A,1738,"[implementation, strings]"
213D,2275,"[constructive algorithms, geometry]"
480A,1473,"[greedy, sortings]"
133D,2037,[implementation]
603D,2976,"[geometry, math]"
533A,3098,"[binary search, data structures, dfs and similar, greedy, trees]"
92E,2290,"[data structures, dsu, graphs]"
584D,1770,[number theory]
460E,2670,"[brute force, geometry, math, sortings]"
347A,1299,"[implementation, sortings]"
65E,5000,"[dfs and similar, implementation]"
32E,5000,"[geometry, implementation]"
287D,2392,[]
187D,2724,[data structures]
260A,1424,"[implementation, math]"
192B,1277,"[brute force, implementation]"
214C,1961,"[brute force, greedy]"
662A,2497,"[bitmasks, math, matrices, probabilities]"
706B,1233,"[binary search, implementation]"
316G1,1794,"[hashing, strings]"
300C,1824,"[brute force, combinatorics]"
10D,2383,[dp]
592C,1876,[math]
526F,2967,"[data structures, divide and conquer]"
465C,1775,[brute force]
178E2,2005,[]
18E,1994,[dp]
6D,5000,"[brute force, dp]"
455A,1501,[dp]
719B,1461,[greedy]
56B,1385,[implementation]
427C,1692,"[dfs and similar, graphs, two pointers]"
618G,5000,"[dp, matrices, probabilities]"
349D,2641,"[dfs and similar, number theory, trees]"
48C,1624,[math]
554E,2536,"[dfs and similar, dsu]"
191D,2707,"[graphs, greedy]"
429A,1391,"[dfs and similar, trees]"
95C,1885,[shortest paths]
673B,1414,"[greedy, implementation]"
261B,1928,"[dp, math, probabilities]"
37D,2113,"[combinatorics, dp, math]"
634B,1808,"[constructive algorithms, dp, implementation]"
424C,1586,[math]
649C,1720,"[greedy, sortings]"
169D,2443,[]
66A,1371,"[implementation, strings]"
53E,5000,"[bitmasks, dp]"
61E,2184,"[data structures, trees]"
270C,1785,"[binary search, greedy, implementation, math, sortings]"
435C,1619,[implementation]
479C,1558,"[greedy, sortings]"
340A,1315,[math]
196E,2635,"[dsu, graphs, shortest paths]"
653E,2446,"[dfs and similar, dsu, graphs]"
326E,2868,[]
233B,1503,"[binary search, brute force, math]"
582E,2964,"[bitmasks, dp, expression parsing]"
417B,1571,[implementation]
552E,2305,"[brute force, dp, expression parsing, greedy, implementation]"
346C,2279,"[greedy, math]"
9D,1735,"[combinatorics, divide and conquer, dp]"
468B,2052,"[2-sat, dfs and similar, dsu, graph matchings, greedy]"
704C,2949,[dp]
83B,1844,"[binary search, math, sortings]"
369C,1685,"[dfs and similar, graphs, trees]"
450A,1114,[implementation]
103E,2844,"[flows, graph matchings]"
333A,1466,[greedy]
308A,2216,[]
325D,3033,[dsu]
518C,1636,"[data structures, implementation]"
426B,1358,[implementation]
177B1,1115,[number theory]
330B,1340,"[constructive algorithms, graphs]"
534A,1132,"[constructive algorithms, implementation]"
447B,1080,"[greedy, implementation]"
446D,2895,"[math, matrices, probabilities]"
51C,1807,"[binary search, greedy]"
250E,2302,[brute force]
421C,1948,[implementation]
91E,2537,"[data structures, geometry]"
490E,2115,"[binary search, brute force, greedy, implementation]"
85B,1799,[data structures]
111E,5000,[]
469D,2341,"[2-sat, data structures, graph matchings, greedy]"
555C,2205,[data structures]
249D,2673,"[data structures, dp, math, sortings]"
285C,1278,"[greedy, implementation, sortings]"
469B,1337,[implementation]
625A,1738,"[implementation, math]"
512A,1672,"[dfs and similar, graphs, greedy, sortings]"
376E,5000,"[bitmasks, shortest paths]"
204D,2417,[dp]
74D,2293,[data structures]
215A,1112,"[brute force, implementation]"
621A,1059,[implementation]
13C,1861,"[dp, sortings]"
258C,2071,"[binary search, combinatorics, dp, math]"
136D,1731,"[geometry, implementation]"
505C,2166,"[dfs and similar, dp, two pointers]"
264B,1645,"[dp, number theory]"
376D,1981,"[dp, implementation, sortings]"
10B,1407,"[dp, implementation]"
510A,703,[implementation]
333E,2493,"[binary search, bitmasks, brute force, geometry, sortings]"
605C,2366,[geometry]
549B,2280,"[constructive algorithms, dfs and similar, greedy]"
572D,2390,"[dp, sortings]"
431C,1622,"[dp, implementation, trees]"
273C,2251,"[graphs, greedy]"
68C,2124,[brute force]
415D,1677,"[combinatorics, dp, number theory]"
112A,979,"[implementation, strings]"
512D,2882,"[dp, trees]"
430A,1594,"[constructive algorithms, sortings]"
281C,2146,"[geometry, implementation]"
67C,2442,[dp]
139A,1200,[implementation]
572B,1437,"[data structures, greedy, implementation, sortings]"
547E,2860,"[data structures, string suffix structures, strings]"
253A,1245,[greedy]
653B,1340,"[brute force, dfs and similar, dp, strings]"
488C,2089,[brute force]
542C,1987,"[constructive algorithms, graphs, math]"
538F,2235,"[brute force, data structures, math, sortings]"
689A,1520,"[brute force, constructive algorithms, implementation]"
515C,1495,"[greedy, math, sortings]"
364E,3175,"[divide and conquer, two pointers]"
116C,1454,"[dfs and similar, graphs, trees]"
714B,1343,[implementation]
431D,2134,"[binary search, bitmasks, combinatorics, dp, math]"
591D,2212,[]
105B,1793,"[brute force, probabilities]"
348D,2548,"[dp, matrices]"
373D,2237,[]
234B,1031,[sortings]
146C,1350,[greedy]
407E,5000,[data structures]
384D,2688,[implementation]
700D,3119,"[data structures, greedy]"
653C,1894,"[brute force, implementation]"
424D,2219,"[binary search, brute force, constructive algorithms, data structures, dp]"
669A,863,[math]
356A,1639,"[data structures, dsu]"
672B,1132,"[constructive algorithms, implementation, strings]"
333D,2163,"[binary search, bitmasks, brute force, implementation, sortings]"
608E,2612,[]
488A,1226,[brute force]
16B,1148,"[greedy, implementation, sortings]"
478E,5000,"[brute force, dfs and similar, meet-in-the-middle, sortings]"
700C,2579,[dfs and similar]
83E,2755,"[bitmasks, dp]"
429D,2270,"[data structures, divide and conquer, geometry]"
645F,2561,"[combinatorics, math, number theory]"
101C,2061,"[implementation, math]"
580B,1527,"[binary search, sortings, two pointers]"
143A,1193,"[brute force, math]"
166A,1313,"[binary search, implementation, sortings]"
264A,1410,"[constructive algorithms, data structures, implementation, two pointers]"
419C,1822,[]
618D,2260,"[dfs and similar, dp, graph matchings, trees]"
670F,2371,"[constructive algorithms, strings]"
493C,1840,"[binary search, brute force, implementation, sortings, two pointers]"
590C,2230,"[dfs and similar, graphs, shortest paths]"
516D,2858,"[dfs and similar, dp, dsu, trees, two pointers]"
438E,5000,"[combinatorics, divide and conquer, fft, number theory]"
316D2,2308,[dp]
542A,2529,"[data structures, sortings]"
634D,2202,"[data structures, divide and conquer, greedy]"
402A,1232,"[greedy, math]"
364C,2311,"[brute force, number theory]"
621C,1706,[probabilities]
156A,1807,[brute force]
475F,2916,[data structures]
229E,2624,"[combinatorics, dp, probabilities]"
316C1,2195,[flows]
269D,2563,"[data structures, dp]"
280E,5000,"[data structures, dp, implementation, math]"
223A,1787,"[data structures, expression parsing, implementation]"
459C,1854,"[combinatorics, constructive algorithms, math]"
634E,2628,[]
543B,2150,"[graphs, shortest paths]"
322B,1625,"[combinatorics, math]"
186A,1325,"[implementation, strings]"
286C,2121,"[greedy, implementation]"
414E,3217,[data structures]
625B,1335,"[constructive algorithms, strings]"
94A,1020,"[implementation, strings]"
88E,2229,[]
135A,1443,"[implementation, sortings]"
627D,2690,"[binary search, dp, trees]"
633F,2559,"[dfs and similar, dp, trees]"
599A,923,[implementation]
24B,1389,[implementation]
672A,905,[implementation]
495D,2455,"[binary search, dp, strings]"
124E,2706,[]
104D,2001,[math]
109A,1056,"[brute force, implementation]"
295A,1427,"[data structures, implementation]"
420E,2689,[geometry]
514E,2474,"[dp, matrices]"
408A,867,[implementation]
633H,3114,"[data structures, implementation]"
442D,2665,"[data structures, trees]"
219D,1859,"[dfs and similar, dp, trees]"
36C,2111,"[geometry, implementation]"
510B,1508,[dfs and similar]
140B,1796,"[brute force, greedy, implementation]"
435D,2188,"[brute force, dp, greedy]"
275A,957,[implementation]
338E,2626,[data structures]
467B,1236,"[bitmasks, brute force, constructive algorithms, implementation]"
297A,1715,[constructive algorithms]
581A,662,[implementation]
36D,2027,[games]
353E,2468,"[dp, graph matchings, greedy]"
546B,1415,"[brute force, greedy, implementation, sortings]"
288E,2874,"[dp, implementation, math]"
292E,1906,[data structures]
508E,2303,"[dp, greedy]"
78E,2487,"[flows, graphs, shortest paths]"
560B,1429,"[constructive algorithms, implementation]"
486C,1678,"[greedy, implementation]"
234H,2048,"[constructive algorithms, greedy]"
496A,1023,"[brute force, implementation, math]"
406E,2813,"[implementation, math]"
667A,1160,"[geometry, math]"
86B,2241,"[constructive algorithms, graph matchings, greedy, math]"
608C,1680,[dp]
201B,1826,"[math, ternary search]"
88A,1234,"[brute force, implementation]"
578F,5000,"[matrices, trees]"
230A,1108,"[greedy, sortings]"
58D,1938,"[greedy, strings]"
601D,2466,"[data structures, dfs and similar, dsu, hashing, trees]"
382C,1757,"[implementation, sortings]"
456C,1631,[dp]
287E,2353,"[data structures, greedy]"
368A,1113,[implementation]
553D,2327,"[binary search, graphs, greedy]"
5D,1772,"[implementation, math]"
389C,1485,"[binary search, dp, greedy]"
551C,2211,"[binary search, greedy]"
138D,2568,"[dp, games]"
362A,1512,"[greedy, math]"
378C,1665,[dfs and similar]
599D,1933,"[brute force, math]"
289A,1153,"[brute force, implementation]"
475D,2052,"[brute force, data structures, math]"
1A,1201,[math]
174B,1578,"[dp, greedy, implementation]"
191B,1696,[greedy]
67D,1808,"[binary search, data structures, dp]"
80A,1009,[brute force]
438B,1845,"[dp, dsu, sortings]"
135D,2545,"[brute force, dfs and similar, implementation]"
223D,5000,"[geometry, graphs]"
308E,3023,[]
716E,2913,[]
490B,1506,"[dsu, implementation]"
699A,1194,[implementation]
686B,1238,"[constructive algorithms, implementation, sortings]"
490A,933,"[greedy, implementation, sortings]"
655G,3298,[]
138C,2165,"[binary search, data structures, probabilities, sortings]"
249B,2317,"[binary search, greedy]"
224A,1164,"[brute force, math]"
462E,2662,[]
35D,1605,"[dp, greedy]"
268B,1072,"[implementation, math]"
262A,875,[implementation]
465D,2286,[brute force]
475C,2102,"[brute force, constructive algorithms, greedy]"
657D,2786,[sortings]
510D,2214,"[bitmasks, brute force, dp, math]"
303C,2460,"[brute force, math]"
4B,1344,"[constructive algorithms, greedy]"
437E,5000,[]
364A,1678,"[combinatorics, data structures, implementation]"
460A,1003,"[brute force, implementation]"
669B,1186,[]
273A,1428,[]
211E,1938,[]
446E,5000,"[math, matrices]"
319D,2814,"[greedy, hashing, string suffix structures, strings]"
165E,2137,"[bitmasks, brute force, dfs and similar, dp]"
383E,2667,"[combinatorics, divide and conquer, dp]"
135C,1857,"[constructive algorithms, games, greedy]"
602A,1294,[implementation]
538B,1404,"[constructive algorithms, dp, greedy, implementation]"
378A,835,[brute force]
326F,5000,[]
450E,2602,"[constructive algorithms, number theory]"
240E,2971,"[dfs and similar, graphs, greedy]"
436F,3026,"[brute force, data structures, dp]"
68B,1576,[binary search]
331E1,5000,"[constructive algorithms, graphs, implementation]"
126B,1845,"[binary search, dp, hashing, string suffix structures, strings]"
51E,2251,"[combinatorics, graphs, matrices]"
178B2,1601,[]
272A,1003,"[implementation, math]"
388D,2735,[math]
315B,1267,[implementation]
715D,3188,[constructive algorithms]
421A,866,"[constructive algorithms, implementation]"
305D,2472,"[combinatorics, math]"
75A,1195,[implementation]
357A,1165,"[brute force, greedy, implementation]"
43B,1182,"[implementation, strings]"
577B,1880,"[combinatorics, data structures, dp, two pointers]"
707D,2188,"[data structures, dfs and similar, implementation]"
25C,1656,"[graphs, shortest paths]"
260B,1658,"[brute force, implementation, strings]"
88C,1544,[number theory]
273D,2422,[dp]
607E,5000,"[binary search, geometry]"
231B,1580,"[constructive algorithms, greedy]"
230D,1991,"[binary search, graphs, shortest paths]"
682E,2587,"[geometry, two pointers]"
419E,2475,[]
545B,1253,[greedy]
448D,1848,"[binary search, brute force]"
550C,1563,"[brute force, dp, math]"
567F,2718,[dp]
687A,1283,"[dfs and similar, graphs]"
467A,648,[implementation]
129E,2105,"[combinatorics, dp]"
405B,1261,[]
453D,2901,"[dp, matrices]"
432C,1803,"[greedy, sortings]"
86C,2456,"[dp, string suffix structures, trees]"
22A,831,[brute force]
476B,1333,"[bitmasks, brute force, combinatorics, dp, math, probabilities]"
427A,762,[implementation]
519B,1177,"[data structures, implementation]"
548B,1484,"[brute force, greedy, implementation]"
109B,1897,"[brute force, probabilities]"
504E,3087,"[binary search, dfs and similar, hashing, string suffix structures, trees]"
525C,1626,"[greedy, sortings]"
17C,2237,[dp]
142E,5000,[geometry]
706E,2587,"[data structures, implementation, matrices]"
90C,1834,"[greedy, math]"
549E,5000,[math]
256C,2171,[games]
370B,1380,[implementation]
666B,2099,"[graphs, shortest paths]"
444D,2468,"[binary search, hashing, strings, two pointers]"
706A,1143,"[brute force, geometry]"
529B,1913,"[brute force, greedy, sortings]"
516A,1431,"[dp, greedy, implementation, math]"
166D,2517,"[dp, graph matchings, greedy, sortings, two pointers]"
354C,2182,"[brute force, dp, number theory]"
603B,1884,"[dfs and similar, dsu, math, number theory]"
402C,1552,"[brute force, constructive algorithms]"
715A,1587,"[constructive algorithms, math]"
588D,2306,[]
372B,1844,"[brute force, divide and conquer, dp]"
578C,1997,[ternary search]
416D,2352,"[greedy, implementation]"
35C,1507,"[brute force, dfs and similar, shortest paths]"
556A,1060,[greedy]
234E,1603,[implementation]
34A,1046,[implementation]
105E,2648,[brute force]
525B,1488,[greedy]
518B,1441,"[implementation, strings]"
434A,1874,"[math, sortings]"
284E,2664,"[dfs and similar, dp]"
121A,1352,[implementation]
337B,1512,"[greedy, math, number theory]"
441C,1505,"[constructive algorithms, dfs and similar, implementation]"
84B,1433,"[combinatorics, implementation]"
288B,1524,[combinatorics]
529E,1882,[brute force]
681E,2964,[geometry]
320C,1739,[math]
150D,2645,[dp]
353A,1307,"[implementation, math]"
88D,1857,[implementation]
719E,2400,"[data structures, math, matrices]"
178C1,1531,[]
405A,789,"[greedy, implementation, sortings]"
432A,927,"[greedy, implementation, sortings]"
548E,2745,[number theory]
129C,1595,"[dfs and similar, graphs, implementation]"
121B,1595,[strings]
375D,2414,"[data structures, dfs and similar, trees]"
203D,1756,"[geometry, implementation, math]"
31D,1802,"[dfs and similar, implementation]"
228B,1402,"[brute force, implementation]"
282D,2301,"[dp, games]"
709D,2067,"[greedy, math]"
261C,2009,"[constructive algorithms, dp, math]"
489C,1440,"[dp, greedy, implementation]"
332A,1287,[implementation]
370A,1282,[math]
713B,2161,"[binary search, constructive algorithms]"
477A,1662,[math]
187E,3050,"[data structures, greedy]"
415C,1588,"[constructive algorithms, greedy, number theory]"
669E,2091,[data structures]
487E,3257,"[data structures, dfs and similar, graphs, trees]"
278C,1537,[dsu]
283C,2156,[dp]
476A,1111,"[implementation, math]"
87B,1772,"[implementation, strings]"
578D,2647,"[dp, greedy]"
43D,1829,"[brute force, constructive algorithms, implementation]"
331A2,1514,"[data structures, sortings]"
220A,1576,"[implementation, sortings]"
349A,1270,"[greedy, implementation]"
178B3,1760,[]
451B,1434,"[implementation, sortings]"
262E,2552,[dp]
585D,2280,[meet-in-the-middle]
316G2,2226,[string suffix structures]
433D,2316,"[dsu, implementation]"
677E,2586,"[binary search, brute force, dp, implementation]"
195B,1312,"[data structures, implementation, math]"
30B,1640,[implementation]
149C,1577,"[greedy, math, sortings]"
573D,3056,"[data structures, divide and conquer, dp]"
276D,1747,"[bitmasks, dp, greedy, implementation, math]"
708D,3009,[flows]
59E,2122,"[graphs, shortest paths]"
114A,1237,[math]
375E,5000,"[dp, implementation, math]"
455C,2120,"[dfs and similar, dp, dsu, ternary search, trees]"
244B,1642,"[bitmasks, brute force, dfs and similar]"
611B,1419,"[brute force, implementation]"
504D,2713,[bitmasks]
259C,1194,"[greedy, strings]"
193E,2925,"[brute force, math, matrices]"
149D,2144,[dp]
169E,2321,[]
348E,2952,"[dfs and similar, dp, trees]"
338C,2249,"[brute force, dp, number theory]"
533C,1687,"[games, greedy, implementation, math]"
221E,2505,[]
696D,2460,"[data structures, dp, matrices, strings]"
377D,2452,[data structures]
413D,2047,"[bitmasks, dp]"
242C,1777,"[dfs and similar, hashing, shortest paths]"
168E,5000,[]
97B,2305,"[constructive algorithms, divide and conquer]"
70D,2598,"[data structures, geometry]"
10A,1010,[implementation]
498E,2703,"[dp, matrices]"
499E,2451,[]
324E2,5000,[]
515D,2236,"[constructive algorithms, greedy]"
513C,1987,"[bitmasks, probabilities]"
90D,2158,[]
483B,1806,"[binary search, math]"
324C2,2450,[]
248D,2750,"[binary search, greedy, implementation]"
283E,2865,"[combinatorics, data structures, math]"
527C,1914,"[binary search, data structures, implementation]"
250D,2006,"[geometry, ternary search, two pointers]"
425C,2256,"[data structures, dp]"
352C,2015,"[dp, greedy, implementation]"
528C,2549,"[constructive algorithms, graphs]"
500E,2338,"[data structures, dp, dsu]"
579E,2273,[ternary search]
554D,2273,[math]
626F,2480,[dp]
316F2,2469,[]
673D,1619,[]
27B,1395,"[bitmasks, brute force, dfs and similar, greedy]"
680D,2345,"[brute force, constructive algorithms, greedy]"
426D,2650,[]
68D,2369,"[data structures, divide and conquer, dp, probabilities]"
322C,1933,"[implementation, math, number theory]"
